Number ,Category ,Name of Homestay ,Name's Owner,Address,Facilities,Number of Rooms,Price,Link images for download
1,Budget Friendly,Lape Timur,H.ALI NURDIN ,JALAN NIRWANA RT 002/01,"AC, TV SPRING BED",1 HOME (6 ROOM),Rp. 250.000 per room,https://drive.google.com/file/d/1xSGURtCoOVxMVHMcIk7C-guaMahZ6e_4/view?usp=drive_link
2,Budget Friendly,Long Tigata,CHANDRA,JALAN LAUDIT RT 003/ 01,"FAN, TV, SPRING BED ",10 ROOM,Rp.250.000 per room,https://drive.google.com/file/d/1cc2f21TETjrLPh667vztsS_QFGbjcL0v/view?usp=drive_link
,,,,,,,,
,,,,,,,,
1,Middle Range,LUMBA LUMBA ,SARI ANUM,JALAN BOUGENVILLE RT.001/01,"AC, TV, SPRING BED",3 ROOM,Rp.300.000 per room,https://drive.google.com/file/d/1ks_QkKThekvZCS8ZEFqoVAv3pz4xu4s4/view?usp=sharing
2,Middle Range,TIGA PUTERI,BUDI KUSUMA A,JALAN BOUGENVILLE RT.001/01,"AC, TV, DISPENSER, SPRING BED",3 ROOM,Rp. 300.000 per room,https://drive.google.com/file/d/1WxaE49LdbUKlfiJ1axYza8DNbZo3SgmB/view?usp=drive_link
3,Middle Range,LOBSTER,WARSA JAYA,JALAN BOUGENVILLE RT 002/01,"AC, TV SPRING BED",1 ROOM,Rp. 300.00 per room,https://drive.google.com/file/d/1nZkUmlKauw6ps_QoK-cmJ_G1NHDXrqzK/view?usp=drive_link
4,Middle Range,BARONANG,H. NEMAN ,JALAN BOUGENVILLE RT 001/01,"AC, TV, DISPENSER, SPRING BED",1 HOME (9 ROOM),Rp.300.000 per room,https://drive.google.com/file/d/1GKiOxRa_9p-zwu-l4AD5uvFoJgnN7CSp/view?usp=drive_link
5,Middle Range,KACI KACI,H. HASAN ULUNG ,JALAN MINDI RT 001/01,"AC, TV, SPRING BED ",4 ROOM,Rp.300.000 per room,https://drive.google.com/file/d/1RevmS1DFCno0iv6uuqDaABts_wibMDVF/view?usp=drive_link
6,Middle Range,KACI KACI II,H. HASAN ULUNG ,JALAN KARANG KROYA RT 002/03,"AC, TV, DISPENSER, SPRING BED",10 ROOM,Rp.300.000 per room,https://drive.google.com/file/d/1V78NMX2lLOWSQgVKc5j0LmAFwe8u-l5u/view?usp=drive_link
7,Middle Range,KAKAP PUTIH,TARYADI,JALAN MINDI RT 001/01,"AC, TV, SPRING BED",3 ROOM,Rp.300.000 per room,https://drive.google.com/file/d/1hiANUmpM7rFxIfHWtEXeE3kPn4sVgzxU/view?usp=drive_link
8,Middle Range,ARWANA 1,UKMU BAHRONI,JALAN BOUGENVILLE RT 001/01,"AC, TV, DISPENSER, SPRING BED ",12 ROOM,Rp.300.000 per room,https://drive.google.com/file/d/1jO_symX5OmMsyxNuJL8e025dH4bTsGxC/view?usp=drive_link
9,Middle Range,LENCAM,ROHYANA,JALAN BOUGENVILLE RT.001/01,"AC, TV, SPRING BED ",2 ROOM,Rp. 300.000 per room,https://drive.google.com/file/d/1quZCELQmNnnALViPERLEuVvcRwl0FqB2/view?usp=drive_link
10,Middle Range,MUTIARA,KARMIN,JALAN BOUGENVILLE RT.001/01,"2 FAN, 5 AC, TV, SPRING BED",7 ROOM,Rp. 300.000 per room,https://drive.google.com/file/d/1ko92EfCDk3XdsrjI6tQAHz2lCw0xwdzw/view?usp=drive_link
11,Middle Range,BETOK II,M. ATIP,JALAN BOUGENVILLE RT 001/03,"AC, TV, SPRING BED",1 HOME ( 7 ROOM),Rp. 300.000 per room,https://drive.google.com/file/d/18NWx3YO761YmGwhvRw9dwXF6YkZ1vFs2/view?usp=drive_link
